PID,ArrivalTime,BurstTime,Priority
1,28,10,3
2,90,4,10
3,77,11,1
4,58,5,6
5,95,8,6
6,0,4,2
7,6,7,9
8,66,12,5
9,52,5,8
10,6,10,6
11,74,4,7
12,24,17,5
13,61,17,1
14,82,3,3
15,90,13,9
16,69,15,3
17,92,11,6
18,48,15,4
19,8,15,8
20,75,13,9
21,28,1,3
22,5,2,5
23,61,1,6
24,5,9,8
25,94,4,3
26,75,7,2
27,15,13,1
28,93,1,8
29,6,18,3
30,64,8,10
31,16,16,8
32,52,7,9
33,91,9,8
34,18,15,4
35,25,2,4
36,59,20,9
37,47,5,4
38,98,16,2
39,55,18,5
40,3,19,5
41,15,11,8
42,32,4,2
43,83,3,9
44,43,12,10
45,45,20,5
46,4,3,8
47,80,11,4
48,86,16,2
49,16,14,10
50,38,6,4
51,8,10,7
52,65,20,3
53,99,15,1
54,57,6,2
55,41,3,9
56,93,3,8
57,87,7,5
58,13,16,8
59,97,16,1
60,84,19,1
61,15,18,10
62,23,6,7
63,29,10,5
64,95,14,7
65,78,1,10
66,20,8,9
67,1,20,2
68,96,7,6
69,17,13,4
70,90,4,7
71,60,20,3
72,51,12,8
73,40,4,1
74,87,5,1
75,30,7,2
76,12,6,1
77,36,5,10
78,86,16,8
79,40,18,9
80,70,12,6
81,73,7,7
82,92,5,4
83,85,13,1
84,48,13,7
85,1,4,3
86,87,4,3
87,66,9,4
88,100,6,6
89,68,5,4
90,92,12,3
91,99,14,4
92,58,18,6
93,71,10,9
94,45,11,8
95,94,10,8
96,4,3,3
97,7,12,4
98,68,19,7
99,76,17,9
100,24,10,8
