PID,ArrivalTime,BurstTime,Priority
1,50,16,8
2,9,18,6
3,94,9,9
4,47,4,4
5,75,7,2
6,28,13,4
7,25,11,6
8,35,5,1
9,67,14,9
10,41,2,1
11,51,3,2
12,5,8,4
13,89,15,5
14,100,15,2
15,77,17,9
16,85,15,10
17,11,20,4
18,3,14,7
19,85,14,10
20,50,11,8
21,88,12,1
22,31,1,5
23,47,2,6
24,2,1,5
25,16,6,6
26,4,3,5
27,92,8,1
28,23,14,10
29,69,5,1
30,92,7,4
31,55,3,2
32,33,13,5
33,19,3,5
34,28,3,2
35,38,2,1
36,78,6,1
37,89,2,6
38,42,4,7
39,90,18,4
40,73,20,10
41,98,15,4
42,93,15,9
43,7,9,6
44,100,20,4
45,93,5,2
46,28,2,1
47,77,3,1
48,59,13,3
49,36,19,6
50,81,8,5
51,0,11,6
52,46,3,7
53,58,9,5
54,90,9,8
55,9,20,3
56,52,1,9
57,29,11,4
58,5,16,2
59,42,7,3
60,99,11,10
61,91,14,2
62,33,10,9
63,85,14,5
64,77,19,4
65,26,7,3
66,46,19,5
67,12,10,4
68,24,11,6
69,54,20,3
70,56,3,8
71,55,9,3
72,15,15,10
73,31,15,8
74,59,12,4
75,97,20,2
76,80,14,9
77,17,2,2
78,3,12,3
79,98,20,8
80,6,16,6
81,35,16,9
82,56,20,1
83,74,9,5
84,46,1,3
85,25,19,6
86,25,11,4
87,84,18,4
88,92,8,4
89,57,8,6
90,84,17,9
91,28,18,1
92,50,2,4
93,70,2,4
94,0,6,5
95,15,20,7
96,27,15,5
97,38,17,3
98,81,7,4
99,91,1,7
100,15,20,8
101,10,20,8
102,12,15,7
103,76,3,8
104,79,8,7
105,10,11,10
106,21,7,7
107,53,12,7
108,69,18,1
109,45,8,3
110,17,17,7
111,81,13,6
112,24,10,4
113,51,14,10
114,92,20,9
115,77,4,8
116,30,16,8
117,68,18,6
118,82,14,9
119,65,5,5
120,72,17,9
121,73,4,9
122,21,8,8
123,68,14,3
124,31,6,6
125,61,7,7
126,32,20,6
127,32,15,1
128,33,1,7
129,85,16,1
130,44,10,8
131,42,12,10
132,12,15,9
133,57,1,5
134,56,18,1
135,60,1,3
136,97,6,4
137,49,5,3
138,49,1,1
139,33,20,9
140,25,2,10
141,9,9,4
142,22,19,1
143,7,5,7
144,32,4,6
145,11,8,9
146,36,6,6
147,66,20,8
148,20,19,9
149,0,14,7
150,69,16,7
151,48,15,7
152,49,2,9
153,63,15,8
154,0,3,7
155,74,3,9
156,10,4,10
157,13,20,7
158,100,2,6
159,47,15,2
160,2,16,7
161,84,2,2
162,61,3,8
163,54,2,3
164,48,20,10
165,38,20,10
166,64,17,5
167,35,17,3
168,25,11,10
169,6,18,5
170,37,18,8
171,93,3,3
172,94,11,4
173,5,6,8
174,46,9,8
175,86,12,6
176,17,2,8
177,70,20,6
178,81,16,7
179,48,17,3
180,46,18,3
181,40,1,5
182,79,11,4
183,66,3,5
184,38,20,2
185,44,20,4
186,23,3,2
187,76,17,2
188,92,18,2
189,39,2,5
190,15,16,1
191,6,20,1
192,27,13,10
193,84,7,7
194,68,6,4
195,43,7,2
196,85,9,6
197,68,19,10
198,37,19,3
199,53,15,3
200,35,18,4
201,94,10,10
202,24,13,2
203,1,13,1
204,27,1,6
205,97,16,5
206,88,4,2
207,84,4,1
208,64,11,9
209,86,8,5
210,89,12,6
211,23,13,3
212,58,18,1
213,7,10,7
214,59,19,10
215,34,14,3
216,65,18,8
217,26,17,3
218,19,20,1
219,84,3,9
220,56,19,4
221,51,5,5
222,19,3,2
223,40,6,1
224,65,17,7
225,97,6,10
226,19,1,9
227,11,4,6
228,15,20,10
229,34,12,4
230,17,1,4
231,60,15,7
232,33,9,6
233,89,3,5
234,98,9,7
235,7,3,8
236,70,10,10
237,24,14,5
238,36,9,7
239,93,9,2
240,63,10,5
241,35,15,10
242,98,20,10
243,54,15,4
244,3,4,10
245,3,2,4
246,90,8,2
247,67,20,8
248,17,8,2
249,9,4,10
250,12,7,4
251,17,3,3
252,72,12,10
253,73,20,7
254,35,7,9
255,23,5,9
256,93,2,9
257,18,6,9
258,4,13,6
259,99,9,3
260,42,5,4
261,97,14,8
262,51,12,6
263,16,16,6
264,91,9,1
265,33,1,7
266,90,17,1
267,52,6,3
268,86,20,5
269,56,3,9
270,55,1,1
271,81,8,5
272,95,19,7
273,53,5,9
274,54,4,7
275,81,9,1
276,99,12,9
277,80,2,8
278,89,2,6
279,98,1,6
280,0,10,9
281,100,16,4
282,50,3,3
283,98,20,5
284,1,8,5
285,60,14,3
286,30,8,6
287,40,11,8
288,42,6,9
289,15,17,7
290,55,3,8
291,37,17,9
292,11,8,6
293,30,12,9
294,96,11,4
295,66,19,4
296,51,20,5
297,93,1,2
298,5,1,5
299,75,13,7
300,88,8,8
301,64,2,7
302,26,18,2
303,93,7,1
304,77,10,3
305,1,20,1
306,71,11,1
307,82,8,2
308,58,14,9
309,15,10,5
310,62,9,1
311,69,18,2
312,85,16,9
313,87,14,8
314,99,3,8
315,9,11,1
316,14,20,5
317,91,11,6
318,22,14,7
319,99,9,9
320,71,9,2
321,54,14,10
322,62,9,10
323,87,7,7
324,38,5,4
325,93,20,3
326,82,6,5
327,47,11,1
328,54,1,4
329,71,2,2
330,71,3,2
331,1,16,2
332,3,17,4
333,69,18,3
334,32,15,1
335,8,14,6
336,28,14,6
337,14,3,6
338,91,20,2
339,43,8,2
340,95,17,10
341,73,4,6
342,82,15,10
343,12,8,3
344,37,18,4
345,16,19,8
346,59,11,3
347,11,17,5
348,0,17,10
349,0,14,7
350,49,5,7
351,80,7,3
352,98,2,4
353,51,1,10
354,40,14,1
355,18,11,6
356,11,10,10
357,20,10,3
358,78,16,7
359,84,16,9
360,0,7,6
361,38,12,4
362,43,4,4
363,98,7,2
364,92,9,9
365,52,5,9
366,2,2,8
367,5,6,5
368,68,14,10
369,51,1,3
370,83,16,5
371,100,5,7
372,5,14,3
373,22,10,2
374,30,17,2
375,50,5,7
376,24,18,8
377,83,8,7
378,81,18,4
379,12,2,1
380,75,11,6
381,15,3,5
382,43,7,9
383,96,5,8
384,29,19,7
385,28,2,6
386,96,5,4
387,39,17,2
388,88,17,7
389,64,16,3
390,8,8,8
391,88,18,6
392,0,8,8
393,67,17,7
394,67,18,6
395,27,9,1
396,88,18,5
397,97,19,10
398,19,14,2
399,88,4,6
400,90,12,4
401,41,8,4
402,80,7,9
403,74,19,9
404,66,13,3
405,32,9,6
406,1,10,9
407,5,8,6
408,32,15,6
409,89,5,3
410,26,8,10
411,57,17,3
412,81,5,2
413,23,1,8
414,10,16,6
415,33,10,4
416,46,4,1
417,19,2,10
418,58,16,2
419,3,6,4
420,43,19,8
421,44,17,4
422,31,15,2
423,68,11,8
424,61,14,8
425,5,8,3
426,27,1,5
427,56,12,2
428,47,12,9
429,32,11,6
430,96,4,5
431,81,10,9
432,35,9,8
433,38,9,8
434,9,17,1
435,2,2,1
436,17,5,2
437,65,18,1
438,53,10,10
439,15,5,9
440,75,18,8
441,75,9,6
442,92,14,9
443,20,14,2
444,32,9,10
445,57,2,2
446,26,13,2
447,81,6,6
448,33,1,5
449,68,20,10
450,85,15,9
451,26,3,3
452,62,7,8
453,62,18,5
454,78,19,4
455,32,20,3
456,65,2,5
457,57,16,6
458,78,17,2
459,29,6,5
460,65,6,2
461,24,20,4
462,100,11,10
463,100,4,9
464,59,2,6
465,95,3,1
466,80,5,6
467,18,17,4
468,7,13,1
469,75,1,3
470,46,18,8
471,58,5,2
472,74,19,9
473,73,17,4
474,16,8,5
475,52,3,4
476,32,12,8
477,69,15,5
478,52,15,8
479,86,20,5
480,86,4,4
481,19,10,2
482,12,13,8
483,64,17,9
484,6,13,6
485,12,11,7
486,2,6,10
487,31,18,10
488,77,9,2
489,46,20,10
490,67,18,7
491,70,6,5
492,62,2,9
493,61,19,1
494,62,12,3
495,29,1,6
496,99,1,10
497,80,16,2
498,97,3,6
499,14,2,2
500,48,15,1
